batch_id,ingestion_time,icao24,callsign,longitude,latitude,baro_altitude,velocity
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,80156d,IGO057,49.6951,22.6006,9745.98,201.78
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,801570,BDA803,89.116,24.7375,9144.0,197.49
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,801571,IGO6PK,76.2654,14.1168,4572.0,134.41
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,801594,AXB1038,84.4169,26.7482,10972.8,184.17
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,80159c,AIC2985,75.1948,25.114,11582.4,192.45
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,80159d,AIC2538,75.943,28.1063,4617.72,172.43
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8015a7,AIC131,30.7209,41.4317,10370.82,228.06
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8015a8,AIC128,17.926,47.6082,10058.4,237.33
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8015ab,AKJ720Z,77.0868,28.5649,-1.0,10.8
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,8015ad,IGO150E,88.4412,22.6484,-30.48,0.06
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8015c0,IGO243H,77.0913,28.561,-1.0,5.92
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8015c7,IGO975,78.3142,13.6434,6179.82,205.38
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8015ca,IGO342,88.4426,22.6553,-1.0,0.06
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8015ce,IGO572P,77.8955,13.8478,6400.8,178.62
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8015d3,IGO906V,77.8217,11.41,10172.7,239.02
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8015e4,IGO367M,76.8229,27.8485,7642.86,197.74
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8015e7,IGO594Y,87.3604,26.1779,11277.6,293.63
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8015f3,IGO114,77.1984,26.1504,7063.74,167.56
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8015f7,AIC162,52.719,26.3868,12496.8,301.42
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,801600,AIC112,13.7529,48.7536,11277.6,257.51
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,801606,AXB1231,77.1113,28.5685,-1.0,13.38
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,801613,AXB2839,76.1242,15.0625,10050.78,248.09
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,80161d,AKJ1804,81.8985,26.5017,10363.2,189.51
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,801621,IGO6791,87.9434,26.1607,11582.4,179.48
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,801622,IGO1634,77.6337,28.5517,2727.96,134.23
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,80162d,AXB1120,88.1732,26.4546,11887.2,243.96
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,801638,AXB1520,88.7423,24.5148,10370.82,196.62
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,801641,AXB1056,79.0719,27.9142,8366.76,203.95
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,80165a,AIC2482,87.9795,22.8985,5981.7,168.28
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,801661,IGO1231,76.5537,27.8464,5806.44,196.83
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,801667,AIC2255,53.2132,22.6258,10972.8,182.63
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,801670,AXB2931,90.6976,25.6403,5265.42,214.85
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,80167b,AIC2408,77.2722,28.5028,1120.14,95.33
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,80167e,AIC1863,78.2037,28.4007,4579.62,171.01
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,801683,AXB2430,87.6023,25.6741,9456.42,193.16
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8016a2,AKJ1564,85.5454,19.3684,11582.4,211.84
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8016a4,IGO6044,82.9832,24.9147,5669.28,204.52
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8016a5,IGO6570,81.6354,25.1085,9464.04,193.4
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8016a6,AIC1809,77.2308,25.7257,10972.8,224.93
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8016af,AXB2719,77.625,13.2076,1203.96,69.46
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8016bc,IGO626J,86.0224,20.2314,10957.56,207.76
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8016c5,IGO5226,77.0783,28.5583,-1.0,11.83
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,8016c7,AXB1953,83.7979,22.7392,11582.4,202.39
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8016c8,AXB1235,75.9439,26.9817,11300.46,192.51
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8016ce,IGO083,75.7711,26.6678,10363.2,206.95
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8016d7,IGO156,76.4402,10.1525,152.4,70.06
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8016de,IGO691,77.6168,13.2077,1249.68,72.54
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,8016e1,"",54.9103,22.9641,9753.6,196.36
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,80172e,IGO499,82.2945,23.4796,11574.78,217.67
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,801744,IGO2079,86.2389,24.0948,9745.98,209.93
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,80174a,IGO45U,56.2474,24.9802,3017.52,158.37
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,80174b,IGO236Y,78.528,28.2532,6797.04,176.44
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,801753,IGO3UA,77.6296,13.2077,1181.1,53.5
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,80175a,IGO2526,88.4322,22.5222,5288.28,85.44
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,801772,IGO6773,76.9778,28.5916,1310.64,137.76
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,80177c,AXB1082,77.117,28.5699,205.74,80.78
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,80177d,IGO659P,77.0403,14.0138,5829.3,195.34
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,80177e,IGO1060,97.9371,14.5286,9144.0,6.17
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,801792,IGO431M,77.1801,26.8273,9029.7,219.42
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8017a2,AXB2884,84.6338,21.5059,10363.2,199.4
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,801806,IGO76JM,76.2417,28.3062,3855.72,192.8
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,80180b,IGO1014,84.6252,21.0452,10972.8,202.25
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,80182d,IGO1612,77.0801,28.5642,-1.0,6.17
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,80183a,IGO6452,84.3581,23.2509,10980.42,204.66
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,801851,IGO5094,77.7841,13.1891,1661.16,109.77
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,819a52,"",-114.0091,51.1289,-1.0,0.06
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,800187,VUBSF,87.9578,23.8113,9372.6,226.07
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8003b3,AXB2985,77.3821,13.2344,1828.8,98.84
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,80047c,AIC278,77.0989,28.5401,213.36,78.24
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8004a6,VTPPK,77.1103,28.5576,-1.0,4.12
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,8004dd,VTALO,77.0798,28.553,-1.0,3.6
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8004de,AIC187,-75.8467,47.3561,10972.8,245.28
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,80053e,AIC856,77.223,28.5674,746.76,82.35
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,80057b,AIC2850,77.5317,13.8368,5958.84,176.94
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,800582,AIC186,52.5587,26.4402,11277.6,292.15
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,800583,AIC180,29.6467,42.3611,10668.0,265.96
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,800589,AIC238,88.2441,24.5952,9144.0,206.49
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8005f2,"",33.0771,40.255,12184.38,225.54
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8005f4,AIC358,78.4438,27.7149,8267.7,263.44
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,800694,CG3,88.4227,22.4292,739.14,82.11
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,800732,AIC151,32.8741,40.5255,13098.78,233.35
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,80073e,AIC309,108.3579,-8.1607,11574.78,258.72
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,800756,IGO2274,76.5458,12.0514,7345.68,207.77
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8007b0,IGO625E,78.2344,11.733,5311.14,206.45
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8007ca,IGO571E,77.6042,12.5286,11269.98,237.57
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8007cc,IGO6760,82.7439,26.3148,10972.8,184.52
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8007ce,IGO408F,77.1089,11.1261,8938.26,225.73
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8007df,IGO5274,77.6738,13.8269,10370.82,237.97
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8008c3,IGO6243,77.5157,28.087,8564.88,199.41
331756c9-e4fa-40da-9233-991cee0347d1,2026-01-30T15:50:05.127211,8008c7,FLW ME2,88.4414,22.6496,-1.0,1.03
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8008d4,FLW ME 1,88.4457,22.6679,-1.0,12.86
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,800b44,AXB1196,83.084,26.1671,9753.6,187.94
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,800b63,AXB1605,77.751,13.1005,3200.4,174.47
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,800b79,VTCLF,77.2315,28.1345,2743.2,118.49
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,800b81,SEJ757,81.3172,27.3407,10363.2,180.93
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,800b9b,AXB493,51.1158,26.6509,10972.8,185.87
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,800bfb,AIC2389,98.8542,14.7502,10370.82,234.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,800c44,AIC1828,76.8212,11.2321,7231.38,232.37
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,800c4b,AIC2520,77.2578,25.0025,11582.4,226.6
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,800c71,IGO169,77.4546,12.1194,10668.0,233.62
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,800c83,AXB2023,78.3294,13.7103,6408.42,207.09
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,800c85,AIC2387,100.4059,4.3251,9677.4,239.72
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,800c89,AIC2303,100.3599,13.9406,6088.38,174.49
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,800cb9,AIC2661,77.8396,13.5137,4198.62,159.48
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,800cc7,AIC2245,54.6117,22.9049,10972.8,175.27
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,800ce8,AIC2708,87.5117,23.405,8907.78,203.63
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,800cee,IGO6644,79.4349,27.942,10713.72,183.46
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,800d09,IGO1430,54.8692,24.4201,3436.62,198.72
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,800d10,IGO6549,76.8541,28.5298,3291.84,168.3
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,800d13,SEJ170,82.0649,26.4466,9144.0,200.99
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,800d34,IGO143P,84.3531,23.7916,9151.62,217.47
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,800d37,IGO2527,77.4445,29.0644,3916.68,140.97
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,800d40,AIC2802,77.1666,27.1011,7955.28,212.18
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,800d52,LLR755,90.3276,25.4391,4572.0,143.2
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8013a3,AIC2545,76.7387,28.1125,4953.0,187.32
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8013c2,AIC143,20.929,46.5614,12184.38,240.09
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8013ce,IGO625W,75.3289,25.6116,10363.2,206.89
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8013da,IGO435,76.441,10.1526,160.02,73.14
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8013dc,IGO617,88.4713,22.2452,2461.26,125.26
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8013e3,IGO7414,76.2536,28.9742,5189.22,140.87
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8013f6,IGO1132,75.1625,7.2443,11285.22,233.32
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,801402,IGO2449,76.3138,31.3089,10675.62,240.81
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,801408,AIC2411,87.3104,22.5253,5105.4,222.33
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,80141e,AIC2512,77.494,13.371,3268.98,134.08
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,80145e,IGO324V,76.6278,28.7402,5577.84,168.99
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,801462,IGO664C,88.4429,22.6571,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,80148e,IGO47M,55.9001,25.1114,2080.26,121.67
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,801492,IGO727E,77.1154,28.5664,-1.0,2.31
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,80149a,IGO6429,73.5713,18.1341,10972.8,229.96
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8014ad,IGO377W,86.5936,21.8473,10972.8,195.8
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8014ae,AIC1720,77.2618,28.3314,6758.94,207.61
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8014b3,IGO2773,76.3788,12.3821,8229.6,239.22
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,8014bd,IGO153M,88.4428,22.6564,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8014c1,IGO353L,85.6522,22.7174,10058.4,272.37
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8014c4,AIC488,76.1626,28.2713,5105.4,179.68
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8014c8,IGO431,74.2351,26.7645,10972.8,207.33
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8014e8,IGO6041,81.5777,27.5329,10668.0,276.33
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8014ed,AIC2973,76.1822,26.8974,10363.2,200.19
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8014f4,IGO8792,77.538,13.2084,1691.64,96.72
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8014f7,IGO1241,77.6953,13.3105,3573.78,150.74
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8014f8,AKJ552,51.6654,22.7775,9753.6,198.07
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,801504,VTTEN,81.1242,26.7356,1257.3,112.94
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,801531,IGO901K,77.4828,13.2088,2004.06,101.87
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,80153b,AIC2426,77.1322,28.533,388.62,76.49
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,80153e,IGO6307,75.8474,15.1796,9753.6,212.04
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,801546,AKJ360Y,87.558,22.5558,4716.78,209.04
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,80154b,"",85.0671,23.1171,4015.74,181.9
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,801552,AIC2656,76.6339,9.3111,6096.0,224.06
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,801553,AIC2871,76.9241,24.5706,10058.4,223.44
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,80155c,IGO749,79.4733,26.773,10972.8,178.53
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,80156a,IGO6922,77.4126,12.6264,4526.28,191.38
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,80156d,IGO057,49.6951,22.6006,9745.98,201.78
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,801570,BDA803,89.116,24.7375,9144.0,197.49
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,801571,IGO6PK,76.2654,14.1168,4572.0,134.41
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,801594,AXB1038,84.4169,26.7482,10972.8,184.17
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,80159c,AIC2985,75.1948,25.114,11582.4,192.45
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,80159d,AIC2538,75.943,28.1063,4617.72,172.43
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8015a7,AIC131,30.7209,41.4317,10370.82,228.06
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8015a8,AIC128,17.926,47.6082,10058.4,237.33
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8015ab,AKJ720Z,77.0868,28.5649,-1.0,10.8
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,8015ad,IGO150E,88.4412,22.6484,-30.48,0.06
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8015c0,IGO243H,77.0913,28.561,-1.0,5.92
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8015c7,IGO975,78.3142,13.6434,6179.82,205.38
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8015ca,IGO342,88.4426,22.6553,-1.0,0.06
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8015ce,IGO572P,77.8955,13.8478,6400.8,178.62
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8015d3,IGO906V,77.8217,11.41,10172.7,239.02
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8015e4,IGO367M,76.8229,27.8485,7642.86,197.74
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8015e7,IGO594Y,87.3604,26.1779,11277.6,293.63
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8015f3,IGO114,77.1984,26.1504,7063.74,167.56
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8015f7,AIC162,52.719,26.3868,12496.8,301.42
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,801600,AIC112,13.7529,48.7536,11277.6,257.51
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,801606,AXB1231,77.1113,28.5685,-1.0,13.38
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,801613,AXB2839,76.1242,15.0625,10050.78,248.09
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,80161d,AKJ1804,81.8985,26.5017,10363.2,189.51
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,801621,IGO6791,87.9434,26.1607,11582.4,179.48
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,801622,IGO1634,77.6337,28.5517,2727.96,134.23
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,80162d,AXB1120,88.1732,26.4546,11887.2,243.96
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,801638,AXB1520,88.7423,24.5148,10370.82,196.62
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,801641,AXB1056,79.0719,27.9142,8366.76,203.95
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,80165a,AIC2482,87.9795,22.8985,5981.7,168.28
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,801661,IGO1231,76.5537,27.8464,5806.44,196.83
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,801667,AIC2255,53.2132,22.6258,10972.8,182.63
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,801670,AXB2931,90.6976,25.6403,5265.42,214.85
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,80167b,AIC2408,77.2722,28.5028,1120.14,95.33
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,80167e,AIC1863,78.2037,28.4007,4579.62,171.01
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,801683,AXB2430,87.6023,25.6741,9456.42,193.16
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8016a2,AKJ1564,85.5454,19.3684,11582.4,211.84
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8016a4,IGO6044,82.9832,24.9147,5669.28,204.52
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8016a5,IGO6570,81.6354,25.1085,9464.04,193.4
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8016a6,AIC1809,77.2308,25.7257,10972.8,224.93
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8016af,AXB2719,77.625,13.2076,1203.96,69.46
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8016bc,IGO626J,86.0224,20.2314,10957.56,207.76
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8016c5,IGO5226,77.0783,28.5583,-1.0,11.83
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,8016c7,AXB1953,83.7979,22.7392,11582.4,202.39
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8016c8,AXB1235,75.9439,26.9817,11300.46,192.51
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8016ce,IGO083,75.7711,26.6678,10363.2,206.95
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8016d7,IGO156,76.4402,10.1525,152.4,70.06
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8016de,IGO691,77.6168,13.2077,1249.68,72.54
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,8016e1,"",54.9103,22.9641,9753.6,196.36
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,80172e,IGO499,82.2945,23.4796,11574.78,217.67
